inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
21,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
22,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
23,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
24,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
25,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
26,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
27,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
28,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
29,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
30,9,1678,0,393,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
